Year,GDP
1970,637976080854.0
1971,724266897066.0
1972,873936884776.0
1973,1134325814453.0
1974,1285878283181.0
1975,1493975444589.0
1976,1558770195965.0
1977,1771505277323.0
1978,2170271189743.0
1979,2628241801137.0
1980,2942175001616.0
1981,2558130327484.0
1982,2475971086143.0
1983,2415660875601.0
1984,2317446505445.0
1985,2381001972113.0
1986,3343588519150.0
1987,4133772642688.0
1988,4544178702811.0
1989,4647983485688.0
1990,5906235183267.0
1991,6134002565558.0
1992,6747284436682.0
1993,6166917841620.0
1994,6519941169144.0
1995,7518720993811.0
1996,7612904730323.0
1997,6949616127344.0
1998,7148883205588.0
1999,7109560644733.0
2000,6471217709592.0
2001,6591061072511.0
2002,7161908436845.0
2003,8841164251181.0
2004,10147694477632.0
2005,10529478871284.0
2006,11180121523970.0
2007,12872139993418.0
2008,14126881442427.0
2009,12912400424054.0
2010,12647259733068.0
2011,13637263953285.0
2012,12656624498248.0
2013,13214627769312.0
2014,13510792508047.0
2015,11705356741420.0
2016,11991516461779.0
2017,12701546701485.0
2018,13714329006369.0
2019,13441748307935.0
2020,13117252915341.0
2021,14596717166374.0
