ds,y,yhat1,trend,season_yearly,residual1
1970,637976080854.0,76991300000.0,-14340552000000.0,14417543000000.0,560984781270.0
1971,724266897066.0,561016500000.0,-13972611000000.0,14533626000000.0,163250425514.0
1972,873936884776.0,1041184850000.0,-13604670000000.0,14645854000000.0,-167247965144.0
1973,1134325814453.0,971522830000.0,-13326135000000.0,14297658000000.0,162802980021.0
1974,1285878283181.0,1223117400000.0,-13194413000000.0,14417530000000.0,62760909741.0
1975,1493975444589.0,1470928300000.0,-13062690000000.0,14533618000000.0,23047187565.0
1976,1558770195965.0,1801325600000.0,-12844469000000.0,14645794000000.0,-242555445763.0
1977,1771505277323.0,1698974100000.0,-12598677000000.0,14297651000000.0,72531138955.0
1978,2170271189743.0,2050928400000.0,-12366589000000.0,14417516000000.0,119342779119.0
1979,2628241801137.0,2322626200000.0,-12210992000000.0,14533618000000.0,305615552433.0
1980,2942175001616.0,2590435200000.0,-12055395000000.0,14645830000000.0,351739821072.0
1981,2558130327484.0,2393454000000.0,-11904189000000.0,14297642000000.0,164676439996.0
1982,2475971086143.0,2659794300000.0,-11757708000000.0,14417502000000.0,-183823202497.0
1983,2415660875601.0,2922233500000.0,-11611227000000.0,14533459000000.0,-506572587183.0
1984,2317446505445.0,3289391800000.0,-11356429000000.0,14645821000000.0,-971945319451.0
1985,2381001972113.0,3207526400000.0,-11089973000000.0,14297499000000.0,-826524378735.0
1986,3343588519150.0,3643660000000.0,-10773830000000.0,14417490000000.0,-300071523090.0
1987,4133772642688.0,4198873200000.0,-10334922000000.0,14533795000000.0,-65100527232.0
1988,4544178702811.0,4749821000000.0,-9896015000000.0,14645835000000.0,-205642511909.0
1989,4647983485688.0,4794816700000.0,-9502697000000.0,14297513000000.0,-146833173768.0
1990,5906235183267.0,5284608000000.0,-9133225000000.0,14417833000000.0,621627101347.0
1991,6134002565558.0,5759686000000.0,-8774064000000.0,14533750000000.0,374316679606.0
1992,6747284436682.0,6049935400000.0,-8595879500000.0,14645815000000.0,697349043914.0
1993,6166917841620.0,5880183000000.0,-8417206300000.0,14297389000000.0,286734844628.0
1994,6519941169144.0,6184815000000.0,-8232646500000.0,14417462000000.0,335126396920.0
1995,7518720993811.0,6493592600000.0,-8039862600000.0,14533455000000.0,1025128376851.0
1996,7612904730323.0,6798449300000.0,-7847079000000.0,14645528000000.0,814455418579.0
1997,6949616127344.0,6766812000000.0,-7530708700000.0,14297521000000.0,182803926384.0
1998,7148883205588.0,7230091400000.0,-7187748400000.0,14417840000000.0,-81208222252.0
1999,7109560644733.0,7688986600000.0,-6844788500000.0,14533775000000.0,-579425913731.0
2000,6471217709592.0,8144012000000.0,-6501830000000.0,14645843000000.0,-1672794209768.0
2001,6591061072511.0,8139850000000.0,-6157931400000.0,14297782000000.0,-1548789048705.0
2002,7161908436845.0,8602463500000.0,-5814971500000.0,14417436000000.0,-1440555065491.0
2003,8841164251181.0,9061468000000.0,-5472012000000.0,14533480000000.0,-220303433683.0
2004,10147694477632.0,9517122000000.0,-5129052400000.0,14646175000000.0,630572286272.0
2005,10529478871284.0,9512250000000.0,-4785153500000.0,14297404000000.0,1017228364020.0
2006,11180121523970.0,9974870000000.0,-4442194700000.0,14417065000000.0,1205251868418.0
2007,12872139993418.0,10433815000000.0,-4099234900000.0,14533049000000.0,2438325399882.0
2008,14126881442427.0,10889570000000.0,-3756275500000.0,14645846000000.0,3237311679099.0
2009,12912400424054.0,10884810000000.0,-3412376200000.0,14297187000000.0,2027590147190.0
2010,12647259733068.0,11348707000000.0,-3069416800000.0,14418123000000.0,1298553142348.0
2011,13637263953285.0,11807624000000.0,-2726457000000.0,14534081000000.0,1829639687557.0
2012,12656624498248.0,12262594000000.0,-2383497700000.0,14646091000000.0,394030446152.0
2013,13214627769312.0,12257904000000.0,-2039598700000.0,14297503000000.0,956723997664.0
2014,13510792508047.0,12720627000000.0,-1696638800000.0,14417267000000.0,790165779087.0
2015,11705356741420.0,13179468000000.0,-1353679400000.0,14533148000000.0,-1474111116500.0
2016,11991516461779.0,13635844000000.0,-1010719650000.0,14646563000000.0,-1644327322925.0
2017,12701546701485.0,13630796000000.0,-666820800000.0,14297617000000.0,-929249238355.0
2018,13714329006369.0,14093519000000.0,-323861150000.0,14417380000000.0,-379189890783.0
2019,13441748307935.0,14552495000000.0,19098501000.0,14533397000000.0,-1110746984481.0
2020,13117252915341.0,15007575000000.0,362058100000.0,14645518000000.0,-1890322263923.0
2021,14596717166374.0,15003469000000.0,705957100000.0,14297512000000.0,-406751789274.0
2022,,15466085000000.0,1048916660000.0,14417169000000.0,
2023,,15924931000000.0,1391876400000.0,14533056000000.0,
2024,,16381178000000.0,1734836000000.0,14646343000000.0,
2025,,16377129000000.0,2078735000000.0,14298394000000.0,
2026,,16839831000000.0,2421694700000.0,14418137000000.0,
